Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,9/25/2009,2616697,Arts,LV10,Norden Farm Centre Trust Limited,"25,000.00",Revenue
Adult & Community Services,9/16/2009,2614711,Arts,LV10,Southern Electric Plc,"2,707.13",Revenue
Adult & Community Services,10/14/2009,2620573,Arts,LV10,Southern Electric Plc,"2,869.61",Revenue
Adult & Community Services,11/13/2009,2626273,Arts,LV10,Southern Electric Plc,"3,157.85",Revenue
Adult & Community Services,12/14/2009,2631711,Arts,LV10,Southern Electric Plc,"3,435.81",Revenue
Adult & Community Services,9/2/2009,2612455,Arts,LV10,The Anthony Smith Partnership,950,Revenue
Adult & Community Services,10/19/2009,2621393,Arts,LV10,The Anthony Smith Partnership,"1,705.00",Revenue
Adult & Community Services,9/24/2009,2616370,Arts,LV10,Total Gas & Power Limited,949.11,Revenue
Adult & Community Services,10/22/2009,2622484,Arts,LV10,Total Gas & Power Limited,"1,109.33",Revenue
Adult & Community Services,11/24/2009,2628175,Arts,LV10,Total Gas & Power Limited,"1,364.84",Revenue
Adult & Community Services,12/10/2009,2631353,Cemeteries & Churchyards,LC10,Barkland Tree Specialists Ltd,575,Revenue
Adult & Community Services,10/26/2009,2623101,Cemeteries & Churchyards,LC10,Croft Fencing,550,Revenue
Adult & Community Services,11/14/2009,2625857,Cemeteries & Churchyards,LC10,Croft Fencing,693.79,Revenue
Adult & Community Services,9/29/2009,2617430,Cemeteries & Churchyards,LC10,Gower Consultants Ltd,"1,794.87",Revenue
Adult & Community Services,9/8/2009,2612742,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"11,283.43",Revenue
Adult & Community Services,10/8/2009,2618993,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"11,283.43",Revenue
Adult & Community Services,10/22/2009,2622571,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"4,667.60",Revenue
Adult & Community Services,11/10/2009,2625011,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"11,283.43",Revenue
Adult & Community Services,12/2/2009,2629720,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"11,283.43",Revenue
Adult & Community Services,12/10/2009,2631028,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,660.06,Revenue
Adult & Community Services,12/10/2009,2631051,Cemeteries & Churchyards,LC10,ISS Waterers Landscape,"1,322.40",Revenue
Adult & Community Services,10/28/2009,2623485,Cemeteries & Churchyards,LC10,Morriss & Gale,"5,900.00",Revenue
Adult & Community Services,10/19/2009,2621446,Cemeteries & Churchyards,LC10,Signs and Lines Ltd,"3,634.48",Revenue
Adult & Community Services,11/16/2009,2626473,Charters Leisure Centre,LM50,Cardinal Sports,"1,450.00",Revenue
Adult & Community Services,12/21/2009,2633500,Charters Leisure Centre,LM50,Charters Junior Tennis Club,"3,000.00",Revenue
Adult & Community Services,12/18/2009,2632684,Charters Leisure Centre,LM50,Courtmasters Ltd,530,Revenue
Adult & Community Services,9/2/2009,2612401,Charters Leisure Centre,LM50,Opec Construction PLC,935,Revenue
Adult & Community Services,9/2/2009,2612402,Charters Leisure Centre,LM50,Opec Construction PLC,950,Revenue
Adult & Community Services,10/1/2009,2617764,Charters Leisure Centre,LM50,PMP Consultancy Ltd,790,Revenue
Adult & Community Services,12/1/2009,2627066,Charters Leisure Centre,LM50,Precor Products Ltd,776.14,Revenue
Adult & Community Services,10/15/2009,2620383,Community Leisure Services,LR10,ALP Electrical (Maidenhead) Limited,647.15,Revenue
Adult & Community Services,9/2/2009,2612021,Community Leisure Services,LR10,Berks Bucks And Oxon Wildlife,"1,275.00",Revenue
Adult & Community Services,11/18/2009,2626373,Community Leisure Services,LR90,Braywood War Memorial Hall,652,Revenue
Adult & Community Services,9/30/2009,2617521,Community Leisure Services,LR90,Croft Fencing,"1,700.00",Revenue
Adult & Community Services,11/3/2009,2624400,Community Leisure Services,LR10,First Floor,530,Revenue
Adult & Community Services,10/8/2009,2619377,Community Leisure Services,LR10,Forest and Garden Timber,"2,500.00",Revenue
Adult & Community Services,12/21/2009,2633496,Community Leisure Services,NA80,Geze UK Ltd,729.15,Revenue
Adult & Community Services,11/5/2009,2624848,Community Leisure Services,LR90,Hags Play Ltd,"13,500.00",Revenue
Adult & Community Services,10/21/2009,2621487,Community Leisure Services,NA80,Ingersoll Rand Security Technologies Limited,"4,896.58",Revenue
Adult & Community Services,11/26/2009,2628339,Community Leisure Services,LR90,North Maidenhead Cricket Club,525,Revenue
Adult & Community Services,10/29/2009,2623290,Community Leisure Services,NA80,Performing Right Society Ltd,500.92,Revenue
Adult & Community Services,12/1/2009,2627107,Community Leisure Services,NA80,Phonographic Performance Ltd,"1,061.09",Revenue
Adult & Community Services,10/8/2009,2618964,Community Leisure Services,LR90,R&M Construction Services Ltd,"1,200.00",Revenue
Adult & Community Services,10/1/2009,2617393,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,277.54",Revenue
Adult & Community Services,10/19/2009,2621501,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,298.11",Revenue
Adult & Community Services,12/1/2009,2626993,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,327.44",Revenue
Adult & Community Services,12/1/2009,2626995,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,326.79",Revenue
Adult & Community Services,12/1/2009,2626996,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,380.98",Revenue
Adult & Community Services,12/1/2009,2626998,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,421.72",Revenue
Adult & Community Services,12/1/2009,2627017,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,363.71",Revenue
Adult & Community Services,12/1/2009,2627019,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,264.33",Revenue
Adult & Community Services,12/1/2009,2627020,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,284.60",Revenue
Adult & Community Services,12/18/2009,2632815,Community Leisure Services,NA80,Scottish&Southern Energy PLC T/A South.Electric,"1,409.42",Revenue
Adult & Community Services,10/15/2009,2620764,Community Leisure Services,LR10,Smallwood,"4,130.00",Revenue
Adult & Community Services,12/17/2009,2632755,Community Leisure Services,LR10,Smallwood,975,Revenue
Adult & Community Services,9/3/2009,2612589,Community Leisure Services,LR90,Southern Bearing Ltd,"2,000.00",Revenue
Adult & Community Services,9/9/2009,2613416,Community Leisure Services,LR50,Thames Forge Ltd,"1,550.00",Revenue
Adult & Community Services,11/5/2009,2624593,Community Leisure Services,LR50,Windowflowers Ltd,564,Revenue
Adult & Community Services,12/18/2009,2633256,Community Leisure Services,LR50,Windowflowers Ltd,"18,236.68",Revenue
Adult & Community Services,11/2/2009,2623778,Community Services Unit,MF75,ESRI (UK),630,Revenue
Adult & Community Services,10/8/2009,2619343,Community Services Unit,MF75,Gladstone MRM,695,Revenue
Adult & Community Services,10/1/2009,2618007,Community Services Unit,MF75,Key Computer Co Ltd,600,Revenue
Adult & Community Services,11/4/2009,2624348,Community Services Unit,MF75,Oxfordshire County Council,600,Revenue
Adult & Community Services,9/2/2009,2612240,Community Services Unit,MF75,Vodafone Limited (Corporate),954.85,Revenue
Adult & Community Services,12/7/2009,2629760,Community Services Unit,MF75,Vodafone Limited (Corporate),938.82,Revenue
Adult & Community Services,9/12/2009,2614125,Concessionary Transport,STCF,Arriva The Shires And Essex,"5,023.26",Revenue
Adult & Community Services,9/28/2009,2616854,Concessionary Transport,STCF,Arriva The Shires And Essex,"4,585.95",Revenue
Adult & Community Services,11/13/2009,2623346,Concessionary Transport,STCF,Arriva The Shires And Essex,"4,891.68",Revenue
Adult & Community Services,9/8/2009,2612793,Concessionary Transport,STCF,Ashford Luxury Coaches,968.11,Revenue
Adult & Community Services,10/20/2009,2621655,Concessionary Transport,STCF,Ashford Luxury Coaches,"1,936.22",Revenue
Adult & Community Services,11/13/2009,2624852,Concessionary Transport,STCF,Ashford Luxury Coaches,"2,904.33",Revenue
Adult & Community Services,9/22/2009,2615143,Concessionary Transport,STCF,Courtney Coaches Ltd,"33,087.45",Revenue
Adult & Community Services,10/13/2009,2619910,Concessionary Transport,STCF,Courtney Coaches Ltd,"38,012.38",Revenue
Adult & Community Services,11/20/2009,2627229,Concessionary Transport,STCF,Courtney Coaches Ltd,"40,180.99",Revenue
Adult & Community Services,9/2/2009,2612132,Concessionary Transport,STCF,First Beeline Buses Ltd,"47,791.33",Revenue
Adult & Community Services,9/28/2009,2616136,Concessionary Transport,STCF,First Beeline Buses Ltd,"47,968.55",Revenue
Adult & Community Services,11/25/2009,2628671,Concessionary Transport,STCF,First Beeline Buses Ltd,"49,350.82",Revenue
Adult & Community Services,11/25/2009,2628672,Concessionary Transport,STCF,First Beeline Buses Ltd,"49,082.30",Revenue
Adult & Community Services,9/2/2009,2612131,Concessionary Transport,STCF,White Bus Services,"4,771.38",Revenue
Adult & Community Services,9/28/2009,2616853,Concessionary Transport,STCF,White Bus Services,"4,771.38",Revenue
Adult & Community Services,9/1/2009,2610335,Cox Green Leisure Centre,LM70,Southern Bearing Ltd,"1,193.84",Revenue
Adult & Community Services,9/3/2009,2612692,Cox Green Leisure Centre,LM70,Southern Bearing Ltd,"1,193.84",Revenue
Adult & Community Services,10/5/2009,2618457,Cox Green Leisure Centre,LM70,Southern Bearing Ltd,"1,193.84",Revenue
Adult & Community Services,10/5/2009,2618479,Cox Green Leisure Centre,LM70,Southern Bearing Ltd,"1,193.84",Revenue
Adult & Community Services,9/22/2009,2615138,Drug Action Team,MT62,Berkshire Healthcare NHS Trust,"14,445.83",Revenue
Adult & Community Services,10/18/2009,2621142,Drug Action Team,MT62,Berkshire Healthcare NHS Trust,"14,445.83",Revenue
Adult & Community Services,10/23/2009,2622486,Drug Action Team,MT62,Berkshire Healthcare NHS Trust,"8,925.54",Revenue
Adult & Community Services,11/20/2009,2626933,Drug Action Team,MT62,Berkshire Healthcare NHS Trust,"14,445.83",Revenue
Adult & Community Services,10/18/2009,2621030,Drug Action Team,MT62,Bracknell Forest Borough Council,"10,000.00",Revenue
Adult & Community Services,11/20/2009,2626655,Drug Action Team,MT62,Bracknell Forest Borough Council,"14,070.50",Revenue
Adult & Community Services,11/20/2009,2626657,Drug Action Team,MT62,Bracknell Forest Borough Council,"14,070.50",Revenue
Adult & Community Services,11/20/2009,2626660,Drug Action Team,MT62,Bracknell Forest Borough Council,"14,070.50",Revenue
Adult & Community Services,11/13/2009,2625833,Drug Action Team,MT62,Broadway Lodge,"7,000.00",Revenue
Adult & Community Services,12/14/2009,2631239,Drug Action Team,MT62,Broadway Lodge,"6,774.00",Revenue
Adult & Community Services,12/14/2009,2631241,Drug Action Team,MT62,Broadway Lodge,"1,414.29",Revenue
Adult & Community Services,12/14/2009,2631233,Drug Action Team,MT62,Cozart Bioscience Ltd,900,Revenue
Adult & Community Services,11/16/2009,2626509,Drug Action Team,MT63,Graphic Detail,610,Revenue
Adult & Community Services,9/22/2009,2615137,Drug Action Team,MT58,R H Sands & Sons,"4,625.00",Revenue
Adult & Community Services,10/23/2009,2622483,Drug Action Team,MT62,Roberts ABCT Services,"12,500.00",Revenue
Adult & Community Services,11/20/2009,2626653,Drug Action Team,MT62,Thames Valley Probation Board,"4,907.58",Revenue
Adult & Community Services,10/23/2009,2622211,Drug Action Team,MT62,Trevi House Ltd,"3,365.91",Revenue
Adult & Community Services,10/23/2009,2622212,Drug Action Team,MT62,Trevi House Ltd,"1,682.96",Revenue
Adult & Community Services,10/23/2009,2622487,Drug Action Team,MT62,Trevi House Ltd,"3,478.11",Revenue
Adult & Community Services,11/20/2009,2626651,Drug Action Team,MT62,Trevi House Ltd,"3,365.91",Revenue
Adult & Community Services,9/22/2009,2615890,Drug Action Team,MT58,Turning Point,"60,606.25",Revenue
Adult & Community Services,11/13/2009,2625831,Drug Action Team,MT64,Turning Point,"1,928.40",Revenue
Adult & Community Services,9/2/2009,2612443,Elderly & Physical Disability,SDPC,A2B Taxis,648,Revenue
Adult & Community Services,10/1/2009,2617198,Elderly & Physical Disability,SDPC,A2B Taxis,576,Revenue
Adult & Community Services,10/23/2009,2622460,Elderly & Physical Disability,SDPC,A2B Taxis,648,Revenue
Adult & Community Services,10/23/2009,2622461,Elderly & Physical Disability,SDPC,A2B Taxis,540,Revenue
Adult & Community Services,11/26/2009,2628335,Elderly & Physical Disability,SDPC,A2B Taxis,612,Revenue
Adult & Community Services,12/17/2009,2632821,Elderly & Physical Disability,SDPC,A2B Taxis,504,Revenue
Adult & Community Services,10/8/2009,2617988,Elderly & Physical Disability,SDEC,Addlestone Lodge,"2,050.07",Revenue
Adult & Community Services,9/17/2009,2615000,Elderly & Physical Disability,SDEC,Albany House,"2,424.00",Revenue
Adult & Community Services,9/16/2009,2614586,Elderly & Physical Disability,SDPC,Allen Roofing Contractors Ltd,588,Revenue
Adult & Community Services,9/17/2009,2615051,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,9/17/2009,2615052,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,9/17/2009,2615054,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,877.59",Revenue
Adult & Community Services,9/22/2009,2615823,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,051.43",Revenue
Adult & Community Services,9/22/2009,2615825,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,9/22/2009,2615826,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,9/22/2009,2615828,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,10/20/2009,2621555,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,10/20/2009,2621560,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,10/27/2009,2623196,Elderly & Physical Disability,SDEC,Applegarth Residential Home,866.58,Revenue
Adult & Community Services,11/12/2009,2625666,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,11/12/2009,2625677,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,11/12/2009,2625728,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,11/20/2009,2627476,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,11/20/2009,2627477,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,11/20/2009,2627507,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,992.86",Revenue
Adult & Community Services,12/11/2009,2630660,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,059.28",Revenue
Adult & Community Services,12/11/2009,2630662,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,12/11/2009,2630663,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,12/11/2009,2630673,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,12/11/2009,2630701,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,12/11/2009,2630708,Elderly & Physical Disability,SDEC,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,9/17/2009,2615007,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,"2,410.20",Revenue
Adult & Community Services,10/20/2009,2621352,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,"2,490.54",Revenue
Adult & Community Services,11/26/2009,2627838,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,"2,410.20",Revenue
Adult & Community Services,12/4/2009,2629525,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,580,Revenue
Adult & Community Services,12/4/2009,2629528,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,828.57,Revenue
Adult & Community Services,12/11/2009,2630790,Elderly & Physical Disability,SDEC,Atkinsons Private Nursing Home,"2,490.54",Revenue
Adult & Community Services,9/9/2009,2613687,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"3,204.34",Revenue
Adult & Community Services,9/16/2009,2614823,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"4,071.43",Revenue
Adult & Community Services,10/8/2009,2619436,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"3,311.15",Revenue
Adult & Community Services,10/20/2009,2621277,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"4,207.14",Revenue
Adult & Community Services,11/19/2009,2625851,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"3,204.34",Revenue
Adult & Community Services,11/26/2009,2627776,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"4,071.43",Revenue
Adult & Community Services,12/11/2009,2630877,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"4,207.14",Revenue
Adult & Community Services,12/11/2009,2631172,Elderly & Physical Disability,SDEC,Austen House Nursing Home,"3,311.15",Revenue
Adult & Community Services,11/9/2009,2625172,Elderly & Physical Disability,SDPC,Authorised Publications,550,Revenue
Adult & Community Services,11/3/2009,2624080,Elderly & Physical Disability,SRHM,Berkshire East PCT,"3,122.82",Revenue
Adult & Community Services,9/9/2009,2613537,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,357.14",Revenue
Adult & Community Services,9/9/2009,2613571,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,791.50",Revenue
Adult & Community Services,9/17/2009,2615045,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,799.43",Revenue
Adult & Community Services,10/8/2009,2617940,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,435.71",Revenue
Adult & Community Services,10/8/2009,2617946,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,884.55",Revenue
Adult & Community Services,10/20/2009,2621358,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,892.74",Revenue
Adult & Community Services,11/12/2009,2625622,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,697.15",Revenue
Adult & Community Services,11/12/2009,2625645,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,791.50",Revenue
Adult & Community Services,11/20/2009,2627605,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,799.43",Revenue
Adult & Community Services,12/11/2009,2630589,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,524.29",Revenue
Adult & Community Services,12/11/2009,2630668,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,884.55",Revenue
Adult & Community Services,12/11/2009,2630764,Elderly & Physical Disability,SDEC,Birdsgrove Nursing Home,"2,892.74",Revenue
Adult & Community Services,9/2/2009,2612058,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"3,059.47",Revenue
Adult & Community Services,9/25/2009,2616777,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,379.84",Revenue
Adult & Community Services,9/25/2009,2616779,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,103.20",Revenue
Adult & Community Services,9/25/2009,2616782,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,940.73",Revenue
Adult & Community Services,10/1/2009,2616784,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"3,659.68",Revenue
Adult & Community Services,10/23/2009,2622759,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,103.20",Revenue
Adult & Community Services,10/23/2009,2622762,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,856.91",Revenue
Adult & Community Services,10/23/2009,2622764,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),551.6,Revenue
Adult & Community Services,10/23/2009,2622766,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"2,457.85",Revenue
Adult & Community Services,10/30/2009,2623841,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"3,521.76",Revenue
Adult & Community Services,11/26/2009,2628866,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"1,103.20",Revenue
Adult & Community Services,11/27/2009,2628867,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"2,551.40",Revenue
Adult & Community Services,11/26/2009,2628868,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),531.9,Revenue
Adult & Community Services,11/27/2009,2628869,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"2,462.77",Revenue
Adult & Community Services,12/16/2009,2632247,Elderly & Physical Disability,SRHP,Bluebird Care(Reading Wokingham),"3,334.60",Revenue
Adult & Community Services,9/17/2009,2614606,Elderly & Physical Disability,SDEC,Bracknell Forest Borough Council,"2,127.30",Revenue
Adult & Community Services,9/17/2009,2614606,Elderly & Physical Disability,SDPC,Bracknell Forest Borough Council,"5,348.64",Revenue
Adult & Community Services,10/14/2009,2619905,Elderly & Physical Disability,SDCT,Bracknell Forest Borough Council,"5,625.00",Revenue
Adult & Community Services,10/15/2009,2620315,Elderly & Physical Disability,SDEC,Bracknell Forest Borough Council,"1,033.26",Revenue
Adult & Community Services,10/15/2009,2620315,Elderly & Physical Disability,SDPC,Bracknell Forest Borough Council,"3,099.78",Revenue
Adult & Community Services,10/23/2009,2622513,Elderly & Physical Disability,SDPC,Brambles Respite Care Centre,866.7,Revenue
Adult & Community Services,9/12/2009,2614018,Elderly & Physical Disability,SDEC,Briarlea Care Home,"5,185.53",Revenue
Adult & Community Services,9/12/2009,2614023,Elderly & Physical Disability,SDEC,Briarlea Care Home,"5,185.53",Revenue
Adult & Community Services,10/15/2009,2620312,Elderly & Physical Disability,SDEC,Briarlea Care Home,"1,536.64",Revenue
Adult & Community Services,10/15/2009,2620314,Elderly & Physical Disability,SDEC,Briarlea Care Home,"1,536.64",Revenue
Adult & Community Services,10/20/2009,2621326,Elderly & Physical Disability,SDEC,Briarlea Care Home,"1,587.86",Revenue
Adult & Community Services,10/20/2009,2621327,Elderly & Physical Disability,SDEC,Briarlea Care Home,"1,587.86",Revenue
Adult & Community Services,11/20/2009,2627491,Elderly & Physical Disability,SDEC,Briarlea Care Home,"1,536.64",Revenue
Adult & Community Services,10/15/2009,2620247,Elderly & Physical Disability,SDEC,BRYN ILLTYD Residential Home,"1,771.34",Revenue
Adult & Community Services,11/19/2009,2626027,Elderly & Physical Disability,SDEC,BRYN ILLTYD Residential Home,"1,714.20",Revenue
Adult & Community Services,12/11/2009,2631128,Elderly & Physical Disability,SDEC,BRYN ILLTYD Residential Home,"1,771.34",Revenue
Adult & Community Services,9/17/2009,2615038,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,627.62",Revenue
Adult & Community Services,9/17/2009,2615040,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,753.87",Revenue
Adult & Community Services,10/20/2009,2621628,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"3,105.52",Revenue
Adult & Community Services,10/20/2009,2621630,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,558.56",Revenue
Adult & Community Services,11/26/2009,2627743,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,476.03",Revenue
Adult & Community Services,11/26/2009,2627797,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,790.30",Revenue
Adult & Community Services,12/11/2009,2630835,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,883.31",Revenue
Adult & Community Services,12/11/2009,2630836,Elderly & Physical Disability,SDEC,Burnham House Care Centre,"2,558.56",Revenue
Adult & Community Services,10/1/2009,2616676,Elderly & Physical Disability,SRHP,Care Monitoring 2000 Ltd,"5,154.46",Revenue
Adult & Community Services,10/28/2009,2623343,Elderly & Physical Disability,SRHP,Care Monitoring 2000 Ltd,"5,047.12",Revenue
Adult & Community Services,12/8/2009,2630340,Elderly & Physical Disability,SRHP,Care Monitoring 2000 Ltd,"5,142.91",Revenue
Adult & Community Services,9/2/2009,2611922,Elderly & Physical Disability,SRHP,Care Response Ltd,"2,727.00",Revenue
Adult & Community Services,10/2/2009,2618329,Elderly & Physical Disability,SRHP,Care Response Ltd,"1,259.20",Revenue
Adult & Community Services,10/2/2009,2618335,Elderly & Physical Disability,SRHP,Care Response Ltd,533.65,Revenue
Adult & Community Services,10/2/2009,2618337,Elderly & Physical Disability,SRHP,Care Response Ltd,701.24,Revenue
Adult & Community Services,10/2/2009,2618338,Elderly & Physical Disability,SRHP,Care Response Ltd,550.52,Revenue
Adult & Community Services,10/23/2009,2622847,Elderly & Physical Disability,SRHP,Care Response Ltd,727.21,Revenue
