Directorate,Updated,TransNo,Service,Supplier Name,Amount
Adult & Community Services,22/09/2009,2615556,Elderly & Physical Disability,Central & Cecil,"2,400.00"
Adult & Community Services,22/09/2009,2615560,Elderly & Physical Disability,Central & Cecil,"2,314.29"
Adult & Community Services,22/09/2009,2615831,Elderly & Physical Disability,Central & Cecil,"2,400.00"
Adult & Community Services,22/09/2009,2615833,Elderly & Physical Disability,Central & Cecil,"2,057.14"
Adult & Community Services,22/09/2009,2615834,Elderly & Physical Disability,Central & Cecil,"2,400.00"
Adult & Community Services,22/09/2009,2615836,Elderly & Physical Disability,Central & Cecil,"3,024.00"
Adult & Community Services,21/09/2009,2615841,Elderly & Physical Disability,Central & Cecil,"27,216.00"
Adult & Community Services,22/09/2009,2615859,Elderly & Physical Disability,Central & Cecil,"44,520.00"
Adult & Community Services,22/09/2009,2615859,Elderly & Physical Disability,Central & Cecil,"2,120.00"
Adult & Community Services,28/09/2009,2616496,Elderly & Physical Disability,Central & Cecil,"1,371.43"
Adult & Community Services,28/09/2009,2616520,Elderly & Physical Disability,Central & Cecil,650
Adult & Community Services,28/09/2009,2616883,Elderly & Physical Disability,Central & Cecil,"3,024.00"
Adult & Community Services,02/09/2009,2611068,Elderly & Physical Disability,Chalfont Centre For Epilepsy,"6,788.16"
Adult & Community Services,12/09/2009,2613951,Elderly & Physical Disability,Chalfont Centre For Epilepsy,"8,485.20"
Adult & Community Services,12/09/2009,2614009,Elderly & Physical Disability,Chalfont Centre For Epilepsy,"5,802.70"
Adult & Community Services,15/09/2009,2614377,Elderly & Physical Disability,Chalfont Lodge Nursing Home,"4,630.71"
Adult & Community Services,17/09/2009,2614841,Elderly & Physical Disability,Chalfont Lodge Nursing Home,"5,089.11"
Adult & Community Services,17/09/2009,2614849,Elderly & Physical Disability,Chalfont Lodge Nursing Home,"5,410.71"
Adult & Community Services,28/09/2009,2616637,Elderly & Physical Disability,Chalfont Lodge Nursing Home,"3,712.59"
Adult & Community Services,28/09/2009,2616641,Elderly & Physical Disability,Chalfont Lodge Nursing Home,"3,695.66"
Adult & Community Services,17/09/2009,2615002,Elderly & Physical Disability,Cherry Garden Nursing Home,"2,372.70"
Adult & Community Services,17/09/2009,2615003,Elderly & Physical Disability,Cherry Garden Nursing Home,"2,372.70"
Adult & Community Services,17/09/2009,2615004,Elderly & Physical Disability,Cherry Garden Nursing Home,"2,444.10"
Adult & Community Services,17/09/2009,2615006,Elderly & Physical Disability,Cherry Garden Nursing Home,"2,451.79"
Adult & Community Services,01/10/2009,2617104,Elderly & Physical Disability,Cherry Garden Nursing Home,644.52
Adult & Community Services,09/09/2009,2613655,Elderly & Physical Disability,Cherry Tree Nursing Home,"2,370.51"
Adult & Community Services,17/09/2009,2614937,Elderly & Physical Disability,Cherwood House Care Centre,"3,840.51"
Adult & Community Services,23/09/2009,2615465,Elderly & Physical Disability,Complete Care Windsor Ltd,910.2
Adult & Community Services,23/09/2009,2615472,Elderly & Physical Disability,Complete Care Windsor Ltd,617.9
Adult & Community Services,23/09/2009,2615475,Elderly & Physical Disability,Complete Care Windsor Ltd,569.8
Adult & Community Services,16/09/2009,2614779,Elderly & Physical Disability,Cornwall Care House-Headland Residential Home,"1,475.36"
Adult & Community Services,09/09/2009,2613682,Elderly & Physical Disability,Culworth House,"2,017.63"
Adult & Community Services,17/09/2009,2615063,Elderly & Physical Disability,David Lewis Centre-Epilepsy,"3,006.30"
Adult & Community Services,09/09/2009,2613714,Elderly & Physical Disability,Derbyshire Haven Residential Home,"1,684.33"
Adult & Community Services,15/09/2009,2613948,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"1,947.86"
Adult & Community Services,16/09/2009,2614766,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,997.11"
Adult & Community Services,16/09/2009,2614769,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"3,428.96"
Adult & Community Services,16/09/2009,2614771,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,378.31"
Adult & Community Services,16/09/2009,2614775,Elderly & Physical Disability,Dormy House (Sunningdale) Ltd,"2,379.26"
Adult & Community Services,16/09/2009,2614587,Elderly & Physical Disability,Easy Care Systems,594
Adult & Community Services,09/09/2009,2613541,Elderly & Physical Disability,Eton House Residential Home,"1,816.67"
Adult & Community Services,09/09/2009,2613707,Elderly & Physical Disability,Eton House Residential Home,"1,705.80"
Adult & Community Services,09/09/2009,2613708,Elderly & Physical Disability,Eton House Residential Home,"1,710.51"
Adult & Community Services,09/09/2009,2613709,Elderly & Physical Disability,Eton House Residential Home,"1,857.99"
Adult & Community Services,17/09/2009,2615030,Elderly & Physical Disability,Eton House Residential Home,"1,710.51"
Adult & Community Services,17/09/2009,2615032,Elderly & Physical Disability,Eton House Residential Home,"1,904.57"
Adult & Community Services,16/09/2009,2614585,Elderly & Physical Disability,F J Lane & Son Ltd,"1,045.00"
Adult & Community Services,02/09/2009,2612407,Elderly & Physical Disability,Five Acres Nursing Home Ltd,"2,582.88"
Adult & Community Services,17/09/2009,2614945,Elderly & Physical Disability,Foxleigh Grove Nursing Home,"3,517.50"
Adult & Community Services,17/09/2009,2614948,Elderly & Physical Disability,Foxleigh Grove Nursing Home,"3,103.80"
Adult & Community Services,02/09/2009,2611179,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,"2,620.80"
Adult & Community Services,02/09/2009,2611188,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,"2,957.40"
Adult & Community Services,25/09/2009,2616763,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,582.4
Adult & Community Services,01/10/2009,2616769,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,624.96
Adult & Community Services,01/10/2009,2616770,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,"2,620.80"
Adult & Community Services,25/09/2009,2616774,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,546
Adult & Community Services,01/10/2009,2616775,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,714.24
Adult & Community Services,01/10/2009,2616776,Elderly & Physical Disability,Guardian Homecare (Maidenhead) Ltd,"2,979.72"
Adult & Community Services,09/09/2009,2612875,Elderly & Physical Disability,Harwood House Residential Nursing Home,"4,158.43"
Adult & Community Services,17/09/2009,2614853,Elderly & Physical Disability,Harwood House Residential Nursing Home,"4,024.29"
Adult & Community Services,17/09/2009,2614930,Elderly & Physical Disability,Harwood House Residential Nursing Home,"2,940.64"
Adult & Community Services,17/09/2009,2614933,Elderly & Physical Disability,Harwood House Residential Nursing Home,"2,940.64"
Adult & Community Services,15/09/2009,2614348,Elderly & Physical Disability,Headway Thames Valley,"3,120.00"
Adult & Community Services,09/09/2009,2613091,Elderly & Physical Disability,Helen and Douglas House,900
Adult & Community Services,09/09/2009,2613557,Elderly & Physical Disability,Herewards House,"1,917.57"
Adult & Community Services,09/09/2009,2613560,Elderly & Physical Disability,Herewards House,"1,917.57"
Adult & Community Services,09/09/2009,2613561,Elderly & Physical Disability,Herewards House,"2,012.78"
Adult & Community Services,09/09/2009,2613566,Elderly & Physical Disability,Herewards House,"1,947.86"
Adult & Community Services,09/09/2009,2613569,Elderly & Physical Disability,Herewards House,"1,878.60"
Adult & Community Services,09/09/2009,2613638,Elderly & Physical Disability,Herewards House,"1,857.99"
Adult & Community Services,09/09/2009,2613643,Elderly & Physical Disability,Herewards House,"1,728.64"
Adult & Community Services,09/09/2009,2613648,Elderly & Physical Disability,Herewards House,"1,947.86"
Adult & Community Services,09/09/2009,2613650,Elderly & Physical Disability,Herewards House,"1,947.86"
Adult & Community Services,09/09/2009,2613652,Elderly & Physical Disability,Herewards House,"1,762.50"
Adult & Community Services,09/09/2009,2613665,Elderly & Physical Disability,Herewards House,"1,610.23"
Adult & Community Services,17/09/2009,2614949,Elderly & Physical Disability,Herewards House,"1,855.71"
Adult & Community Services,17/09/2009,2614950,Elderly & Physical Disability,Herewards House,"1,947.86"
Adult & Community Services,17/09/2009,2614951,Elderly & Physical Disability,Herewards House,"1,818.00"
Adult & Community Services,17/09/2009,2614953,Elderly & Physical Disability,Herewards House,"1,731.43"
Adult & Community Services,17/09/2009,2614955,Elderly & Physical Disability,Herewards House,"2,055.47"
Adult & Community Services,17/09/2009,2614958,Elderly & Physical Disability,Herewards House,"2,216.23"
Adult & Community Services,17/09/2009,2614959,Elderly & Physical Disability,Herewards House,"1,611.26"
Adult & Community Services,17/09/2009,2614961,Elderly & Physical Disability,Herewards House,"2,064.43"
Adult & Community Services,17/09/2009,2614963,Elderly & Physical Disability,Herewards House,"1,731.43"
Adult & Community Services,17/09/2009,2614964,Elderly & Physical Disability,Herewards House,"3,587.71"
Adult & Community Services,17/09/2009,2614966,Elderly & Physical Disability,Herewards House,"1,839.64"
Adult & Community Services,09/09/2009,2613692,Elderly & Physical Disability,Hilltop House,"3,360.00"
Adult & Community Services,16/09/2009,2614818,Elderly & Physical Disability,Hilltop House,"3,135.90"
Adult & Community Services,15/09/2009,2613945,Elderly & Physical Disability,Horsell Lodge Ltd,"4,000.00"
Adult & Community Services,09/09/2009,2613750,Elderly & Physical Disability,Kensington Lodge,"2,216.10"
Adult & Community Services,09/09/2009,2613684,Elderly & Physical Disability,Kingston House,"1,814.01"
Adult & Community Services,02/09/2009,2611939,Elderly & Physical Disability,Larchfield Nursing Home,"5,849.26"
Adult & Community Services,09/09/2009,2613583,Elderly & Physical Disability,Larchfield Nursing Home,"2,926.29"
Adult & Community Services,09/09/2009,2613661,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,09/09/2009,2613663,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,09/09/2009,2613679,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,09/09/2009,2613698,Elderly & Physical Disability,Larchfield Nursing Home,"2,926.29"
Adult & Community Services,09/09/2009,2613702,Elderly & Physical Disability,Larchfield Nursing Home,"3,214.29"
Adult & Community Services,17/09/2009,2614969,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,17/09/2009,2614971,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,17/09/2009,2614979,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,17/09/2009,2614981,Elderly & Physical Disability,Larchfield Nursing Home,"2,914.29"
Adult & Community Services,22/09/2009,2615866,Elderly & Physical Disability,Larchfield Nursing Home,"65,096.57"
Adult & Community Services,01/10/2009,2616876,Elderly & Physical Disability,Larchfield Nursing Home,"5,660.57"
Adult & Community Services,28/09/2009,2616954,Elderly & Physical Disability,Larchfield Nursing Home,971.43
Adult & Community Services,28/09/2009,2616956,Elderly & Physical Disability,Larchfield Nursing Home,"1,166.07"
Adult & Community Services,02/09/2009,2612496,Elderly & Physical Disability,Larkland House,"15,474.60"
Adult & Community Services,02/09/2009,2612497,Elderly & Physical Disability,Larkland House,"2,617.29"
Adult & Community Services,09/09/2009,2613577,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,09/09/2009,2613588,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,09/09/2009,2613633,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,09/09/2009,2613704,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,09/09/2009,2613722,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615106,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615107,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615108,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615109,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615110,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615112,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615113,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615114,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615116,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,17/09/2009,2615117,Elderly & Physical Disability,Larkland House,"2,579.10"
Adult & Community Services,01/10/2009,2617278,Elderly & Physical Disability,Larkland House,"15,990.42"
Adult & Community Services,01/10/2009,2617279,Elderly & Physical Disability,Larkland House,"2,704.53"
Adult & Community Services,12/09/2009,2613353,Elderly & Physical Disability,Leonard Cheshire,"5,668.57"
Adult & Community Services,28/09/2009,2616573,Elderly & Physical Disability,Lynwood Residential Home,"2,994.73"
Adult & Community Services,28/09/2009,2616582,Elderly & Physical Disability,Lynwood Residential Home,"2,379.99"
Adult & Community Services,28/09/2009,2616584,Elderly & Physical Disability,Lynwood Residential Home,"2,379.99"
Adult & Community Services,28/09/2009,2616586,Elderly & Physical Disability,Lynwood Residential Home,"1,610.27"
Adult & Community Services,28/09/2009,2616587,Elderly & Physical Disability,Lynwood Residential Home,"1,855.71"
Adult & Community Services,28/09/2009,2616589,Elderly & Physical Disability,Lynwood Residential Home,"1,787.40"
Adult & Community Services,28/09/2009,2616591,Elderly & Physical Disability,Lynwood Residential Home,"1,855.71"
Adult & Community Services,28/09/2009,2616703,Elderly & Physical Disability,Lynwood Residential Home,"1,610.23"
Adult & Community Services,28/09/2009,2616704,Elderly & Physical Disability,Lynwood Residential Home,"2,929.24"
Adult & Community Services,28/09/2009,2616707,Elderly & Physical Disability,Lynwood Residential Home,"1,855.71"
Adult & Community Services,28/09/2009,2616708,Elderly & Physical Disability,Lynwood Residential Home,"1,610.23"
Adult & Community Services,28/09/2009,2616711,Elderly & Physical Disability,Lynwood Residential Home,"2,529.81"
Adult & Community Services,28/09/2009,2616712,Elderly & Physical Disability,Lynwood Residential Home,"1,611.26"
Adult & Community Services,28/09/2009,2616715,Elderly & Physical Disability,Lynwood Residential Home,"2,516.96"
Adult & Community Services,28/09/2009,2616716,Elderly & Physical Disability,Lynwood Residential Home,"1,886.79"
Adult & Community Services,28/09/2009,2616718,Elderly & Physical Disability,Lynwood Residential Home,843.27
Adult & Community Services,28/09/2009,2616721,Elderly & Physical Disability,Lynwood Residential Home,"2,378.31"
Adult & Community Services,15/09/2009,2614378,Elderly & Physical Disability,Manor House Care Home (Old Windsor),511.31
Adult & Community Services,15/09/2009,2614379,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,556.56"
Adult & Community Services,17/09/2009,2615065,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,857.21"
Adult & Community Services,17/09/2009,2615066,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,507.31"
Adult & Community Services,17/09/2009,2615067,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,562.30"
Adult & Community Services,17/09/2009,2615068,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,459.87"
Adult & Community Services,17/09/2009,2615069,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,556.56"
Adult & Community Services,17/09/2009,2615072,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,556.56"
Adult & Community Services,17/09/2009,2615075,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,556.56"
Adult & Community Services,28/09/2009,2616489,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,527.97"
Adult & Community Services,09/09/2009,2613706,Elderly & Physical Disability,Meadowbank Residential Home for the Elderly,"1,857.99"
Adult & Community Services,28/09/2009,2616579,Elderly & Physical Disability,Moor Cottage Residential Home,"1,658.57"
Adult & Community Services,09/09/2009,2613078,Elderly & Physical Disability,New Victoria Nursing & Residential Care Home,"1,397.88"
Adult & Community Services,09/09/2009,2613079,Elderly & Physical Disability,New Victoria Nursing & Residential Care Home,"1,747.35"
Adult & Community Services,16/09/2009,2614784,Elderly & Physical Disability,Nightingales Residential Homes,"3,010.28"
Adult & Community Services,16/09/2009,2614527,Elderly & Physical Disability,Norlington Care Ltd,"2,078.83"
Adult & Community Services,09/09/2009,2613534,Elderly & Physical Disability,Normanhurst Care Limited,"2,424.00"
Adult & Community Services,09/09/2009,2613636,Elderly & Physical Disability,Normanhurst Care Limited,"2,485.71"
Adult & Community Services,09/09/2009,2613727,Elderly & Physical Disability,Normanhurst Care Limited,"2,431.47"
Adult & Community Services,16/09/2009,2614810,Elderly & Physical Disability,Normanhurst Care Limited,"1,857.04"
Adult & Community Services,16/09/2009,2614816,Elderly & Physical Disability,Normanhurst Care Limited,"2,164.29"
Adult & Community Services,17/09/2009,2615064,Elderly & Physical Disability,North Lanarkshire Council,"1,992.26"
Adult & Community Services,22/09/2009,2615899,Elderly & Physical Disability,Old Windsor Day Centre,"3,125.00"
Adult & Community Services,09/09/2009,2613667,Elderly & Physical Disability,Orpheus Centre,"3,645.51"
Adult & Community Services,15/09/2009,2614251,Elderly & Physical Disability,Oxford House Community Care,"3,576.59"
Adult & Community Services,30/09/2009,2617653,Elderly & Physical Disability,People To Places,"1,093.92"
Adult & Community Services,17/09/2009,2615059,Elderly & Physical Disability,Rapkyns,"3,469.11"
Adult & Community Services,09/09/2009,2613691,Elderly & Physical Disability,Restful Homes (Milton Keynes) Ltd,"3,030.00"
Adult & Community Services,22/09/2009,2615819,Elderly & Physical Disability,RMBI,"2,003.53"
Adult & Community Services,02/09/2009,2612373,Elderly & Physical Disability,Royal Masonic Benevolent Institute,"2,516.96"
Adult & Community Services,17/09/2009,2615035,Elderly & Physical Disability,Royal Masonic Benevolent Institute,"1,653.10"
Adult & Community Services,17/09/2009,2615146,Elderly & Physical Disability,Samin Travel Ltd,"1,000.00"
Adult & Community Services,17/09/2009,2615037,Elderly & Physical Disability,Sandridge House,"2,370.60"
Adult & Community Services,09/09/2009,2613712,Elderly & Physical Disability,St Davids,"2,341.76"
Adult & Community Services,17/09/2009,2614998,Elderly & Physical Disability,St Elizabeths School,"5,500.32"
Adult & Community Services,17/09/2009,2614999,Elderly & Physical Disability,St Elizabeths School,"3,455.73"
Adult & Community Services,17/09/2009,2614944,Elderly & Physical Disability,St Marks Nursing Centre,"1,926.21"
Adult & Community Services,28/09/2009,2616210,Elderly & Physical Disability,St Marks Nursing Centre,"42,937.20"
Adult & Community Services,24/09/2009,2616399,Elderly & Physical Disability,St Marks Nursing Centre,830.3
Adult & Community Services,24/09/2009,2616403,Elderly & Physical Disability,St Marks Nursing Centre,"2,264.44"
Adult & Community Services,24/09/2009,2616412,Elderly & Physical Disability,St Marks Nursing Centre,830.3
Adult & Community Services,12/09/2009,2614248,Elderly & Physical Disability,Thames Valley Care at Home Service,"19,159.50"
Adult & Community Services,15/09/2009,2614012,Elderly & Physical Disability,The Berkshire Nursing Home,"2,521.71"
Adult & Community Services,17/09/2009,2615105,Elderly & Physical Disability,The Cookham Riverside Residential NursingHome,"3,127.50"
Adult & Community Services,18/09/2009,2615408,Elderly & Physical Disability,The Cookham Riverside Residential NursingHome,"3,902.10"
Adult & Community Services,18/09/2009,2615409,Elderly & Physical Disability,The Cookham Riverside Residential NursingHome,"2,889.00"
Adult & Community Services,18/09/2009,2615411,Elderly & Physical Disability,The Cookham Riverside Residential NursingHome,"3,835.71"
Adult & Community Services,02/09/2009,2611007,Elderly & Physical Disability,The Cornerways,"7,027.99"
Adult & Community Services,17/09/2009,2614806,Elderly & Physical Disability,The Cornerways,"7,027.99"
Adult & Community Services,09/09/2009,2613081,Elderly & Physical Disability,The Royal Air Forces Association,888.3
Adult & Community Services,09/09/2009,2613082,Elderly & Physical Disability,The Royal Air Forces Association,888.3
Adult & Community Services,22/09/2009,2615550,Elderly & Physical Disability,The Royal Air Forces Association,888.3
Adult & Community Services,09/09/2009,2613356,Elderly & Physical Disability,Torpoint Ltd,"2,214.33"
Adult & Community Services,01/10/2009,2617817,Elderly & Physical Disability,Triple A-Ascot Area Alzheimers Support Group,"13,000.00"
Adult & Community Services,09/09/2009,2613674,Elderly & Physical Disability,Tudor House Residential Home,"2,055.60"
Adult & Community Services,09/09/2009,2613675,Elderly & Physical Disability,Tudor House Residential Home,"2,102.70"
Adult & Community Services,17/09/2009,2614939,Elderly & Physical Disability,Tudor House Residential Home,"1,714.50"
Adult & Community Services,17/09/2009,2614942,Elderly & Physical Disability,Tudor House Residential Home,"1,835.10"
Adult & Community Services,02/09/2009,2612436,Elderly & Physical Disability,Universal Care Ltd,"1,100.52"
Adult & Community Services,25/09/2009,2616651,Elderly & Physical Disability,Universal Care Ltd,727.81
Adult & Community Services,25/09/2009,2616654,Elderly & Physical Disability,Universal Care Ltd,825.39
