Directorate,Updated,Service,Supplier Name,Amount,Type
Adult & Community Services,02/03/2010,Libraries & Information Services,Age Concern Berkshire,"2,540.00",Revenue
Adult & Community Services,02/03/2010,Libraries & Information Services,Age Concern Berkshire,"1,150.00",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Age Concern Windsor,"4,750.00",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Age Concern Windsor,"8,750.00",Revenue
"Policy,Performance & Planning",22/03/2010,Partnerships,Aik Saath,"14,230.00",Revenue
Resources,06/03/2010,Strategic Director Resources,AIM Academy,"1,297.50",Revenue
Adult & Community Services,17/02/2010,Windsor Leisure Centre,Air Space Solutions,"3,500.00",Revenue
Environmental Services,29/03/2010,Parking Schemes,Airwave Solutions Ltd,"33,181.14",Capital
Environmental Services,29/03/2010,Emergency Planning,Airwave Solutions Ltd,"2,117.96",Revenue
Environmental Services,29/03/2010,Amenity Litter,Airwave Solutions Ltd,"1,411.98",Revenue
Environmental Services,29/03/2010,Crime and Disorder,Airwave Solutions Ltd,"5,647.90",Revenue
Adult & Community Services,19/01/2010,Learning Disability,Aitch Care Homes Woking Ltd,"6,174.28",Revenue
Adult & Community Services,08/02/2010,Learning Disability,Aitch Care Homes Woking Ltd,"6,835.81",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Aitch Care Homes Woking Ltd,"6,615.30",Revenue
Children's Services,15/02/2010,ISB,AJS Theatre Lighting and Stage Supplies Ltd,"5,484.65",Revenue
Children's Services,15/02/2010,ISB,AJS Theatre Lighting and Stage Supplies Ltd,990,Revenue
Childrens Services,25/03/2010,Schools-Devolved Capital,AKC,"2,750.00",Capital
Childrens Services,25/03/2010,Schools-Devolved Capital,AKC,"2,687.50",Capital
Resources,09/02/2010,Audit and Risk Management,Alarm,675,Revenue
Adult & Community Services,19/01/2010,Mental Health,Albany House,"2,626.00",Revenue
Adult & Community Services,19/01/2010,Mental Health,Albany House,"2,600.00",Revenue
Adult & Community Services,19/01/2010,Mental Health,Albany House,"2,424.00",Revenue
Adult & Community Services,19/02/2010,Mental Health,Albany House,"2,424.00",Revenue
Adult & Community Services,19/02/2010,Mental Health,Albany House,"2,600.00",Revenue
Adult & Community Services,19/02/2010,Mental Health,Albany House,"2,626.00",Revenue
Adult & Community Services,17/03/2010,Mental Health,Albany House,"2,424.00",Revenue
Adult & Community Services,17/03/2010,Mental Health,Albany House,"2,600.00",Revenue
Adult & Community Services,17/03/2010,Mental Health,Albany House,"2,626.00",Revenue
Adult & Community Services,08/01/2010,Mental Health,Aldwick Residential Care Home,"1,377.64",Revenue
Adult & Community Services,10/02/2010,Mental Health,Aldwick Residential Care Home,"1,244.32",Revenue
Adult & Community Services,16/03/2010,Mental Health,Aldwick Residential Care Home,"1,377.64",Revenue
Resources,09/03/2010,Procurement,Alexander,"5,214.00",Revenue
Resources,09/03/2010,Procurement,Alexander,"14,828.00",Revenue
Resources,09/03/2010,Procurement,Alexander,585,Revenue
Resources,23/03/2010,Procurement,Alexander,"19,470.00",Revenue
Environmental Services,05/01/2010,Coach & Car Parks,Alfia Limited,514.15,Revenue
Environmental Services,05/01/2010,Coach & Car Parks,Alfia Limited,521.42,Revenue
Children's Services,20/01/2010,ISB,Aline Associates,500,Revenue
Adult & Community Services,08/03/2010,Heritage,Alison Porter,"3,350.00",Revenue
Children's Services,12/01/2010,ISB,All Saints Pre-School,"4,066.08",Revenue
Children's Services,02/03/2010,ISB,All Saints Pre-School,"1,108.04",Revenue
Adult & Community Services,03/02/2010,Housing General,Allen & Crane,650,Revenue
Children's Services,22/01/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,230.00",Revenue
Children's Services,22/01/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,367.00",Revenue
Children's Services,22/01/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,523.00",Revenue
Children's Services,22/01/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,619.19",Revenue
Children's Services,03/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,317.00",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,914.62,Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,141.60",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,130.60",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,532.60",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,479.00",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,573.40",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,167.40",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,271.00",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,229.00",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,119.00",Revenue
Children's Services,11/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,222.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,391.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,567.20",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,484.20",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,134.69",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,189.70",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,167.70",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,587.40",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,336.20",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,187.40",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,395.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,177.40",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,320.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,159.40",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,638.20",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,600.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,230.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,841.66,Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,609.20",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,189.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,531.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,692.80",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,556.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,271.00",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,194.19",Revenue
Children's Services,15/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,883.75",Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,643.00",Revenue
Children's Services,24/02/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,609.30",Revenue
Children's Services,19/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,702.00",Revenue
Children's Services,19/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,660,Revenue
Children's Services,19/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"2,077.20",Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,962.4,Revenue
Children's Services,19/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,231.80",Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,759,Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,829.00",Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,759,Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,759,Revenue
Children's Services,22/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,516.55",Revenue
Children's Services,26/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,868,Revenue
Children's Services,30/03/2010,Safeguarding & Specialist Services,Alma Supported Lodgings for Young People,"1,519.00",Revenue
Adult & Community Services,15/03/2010,Outdoor Facilities,ALP Electrical (Maidenhead) Limited,"5,369.00",Capital
Adult & Community Services,12/02/2010,Leisure Centres,Alpha Flooring (UK) Ltd,"2,690.00",Capital
Adult & Community Services,12/02/2010,Leisure Centres,Alpha Flooring (UK) Ltd,"3,000.00",Capital
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Alzheimers Society - Maidenhead Branch,"3,000.00",Revenue
Resources,03/02/2010,Legal Services,Amberhawk Training Ltd,"2,250.00",Revenue
Environmental Services,05/01/2010,Local Transport Plan,Ambleglow Ltd,915.12,Capital
Environmental Services,05/01/2010,Local Transport Plan,Ambleglow Ltd,798.24,Capital
Environmental Services,16/02/2010,Local Transport Plan,Ambleglow Ltd,"1,310.40",Capital
Environmental Services,24/03/2010,Local Transport Plan,Ambleglow Ltd,"1,246.38",Capital
Environmental Services,29/03/2010,Local Transport Plan,Ambleglow Ltd,926.28,Capital
Resources,09/02/2010,Human Resources,Ambleglow Ltd,"2,473.66",Revenue
Resources,29/03/2010,Human Resources,Ambleglow Ltd,"12,944.69",Revenue
Resources,29/03/2010,Human Resources,Ambleglow Ltd,"3,874.12",Revenue
Environmental Services,05/01/2010,Traffic Management,Ambleglow Ltd,670.2,Revenue
Environmental Services,04/01/2010,Traffic Management,Ambleglow Ltd,703.84,Revenue
Environmental Services,11/02/2010,Traffic Management,Ambleglow Ltd,648.52,Revenue
Environmental Services,11/02/2010,Traffic Management,Ambleglow Ltd,593.2,Revenue
Environmental Services,22/02/2010,Traffic Management,Ambleglow Ltd,"1,704.52",Revenue
Environmental Services,11/02/2010,Traffic Management,Ambleglow Ltd,"1,448.44",Revenue
Environmental Services,11/02/2010,Traffic Management,Ambleglow Ltd,648.52,Revenue
Environmental Services,11/02/2010,Traffic Management,Ambleglow Ltd,759.16,Revenue
Environmental Services,22/02/2010,Traffic Management,Ambleglow Ltd,"1,704.52",Revenue
Environmental Services,11/03/2010,Traffic Management,Ambleglow Ltd,869.8,Revenue
Environmental Services,24/03/2010,Traffic Management,Ambleglow Ltd,"1,192.36",Revenue
Environmental Services,13/02/2010,Trading Standards,Ambleglow Ltd,501.42,Revenue
Environmental Services,15/02/2010,Waste Management,Ambleglow Ltd,"2,351.04",Revenue
Environmental Services,16/03/2010,Coach & Car Parks,Ambleglow Ltd,"11,867.36",Revenue
Children's Services,10/02/2010,DSG Funded School Costs,Ambleglow Ltd,"1,405.85",Revenue
Children's Services,05/01/2010,ISB,Ambleglow Ltd,537.16,Revenue
Children's Services,27/01/2010,ISB,Ambleglow Ltd,"2,716.17",Revenue
Children's Services,27/01/2010,ISB,Ambleglow Ltd,880.54,Revenue
Children's Services,10/02/2010,ISB,Ambleglow Ltd,"2,312.50",Revenue
Children's Services,25/02/2010,ISB,Ambleglow Ltd,"3,040.60",Revenue
Children's Services,03/03/2010,ISB,Ambleglow Ltd,947.47,Revenue
Children's Services,03/03/2010,ISB,Ambleglow Ltd,"2,215.78",Revenue
Children's Services,03/03/2010,ISB,Ambleglow Ltd,"1,380.24",Revenue
Children's Services,11/03/2010,ISB,Ambleglow Ltd,"1,310.40",Revenue
Children's Services,25/03/2010,ISB,Ambleglow Ltd,"1,164.00",Revenue
Children's Services,30/03/2010,ISB,Ambleglow Ltd,"1,765.05",Revenue
"Policy,Performance & Planning",04/01/2010,Town & Country Planning,Ambleglow Ltd,610.12,Revenue
"Policy,Performance & Planning",15/02/2010,Town & Country Planning,Ambleglow Ltd,537.4,Revenue
"Policy,Performance & Planning",16/02/2010,Town & Country Planning,Ambleglow Ltd,996.32,Revenue
"Policy,Performance & Planning",11/03/2010,Town & Country Planning,Ambleglow Ltd,"1,013.72",Revenue
"Policy,Performance & Planning",15/03/2010,Town & Country Planning,Ambleglow Ltd,708.12,Revenue
"Policy,Performance & Planning",25/03/2010,Town & Country Planning,Ambleglow Ltd,550.04,Revenue
"Policy,Performance & Planning",30/03/2010,Town & Country Planning,Ambleglow Ltd,"1,837.11",Revenue
Children's Services,29/01/2010,ISB,Ameeca Ltd,605,Revenue
Children's Services,10/03/2010,ISB,Amersham And Wycombe College,750,Revenue
"Policy,Performance & Planning",25/01/2010,Joint Strategic Planning,Analystic Limited,"9,800.00",Revenue
Childrens Services,10/03/2010,Non Schools,Andrews Eades Ltd,"1,349.82",Capital
Children's Services,21/01/2010,ISB,Andrews Eades Ltd,"2,829.69",Revenue
Children's Services,12/01/2010,ISB,Angels Pre-School,"14,755.58",Revenue
Children's Services,02/03/2010,ISB,Angels Pre-School,"3,242.93",Revenue
Adult & Community Services,09/02/2010,Libraries & Information Services,Anglo Financial Services (AFS),507.96,Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,"1,000.00",Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,"1,440.00",Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,950,Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,"1,100.00",Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,750,Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,"1,225.00",Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,"1,175.00",Revenue
Children's Services,22/02/2010,Education & Childcare Services,Anne Bunce,700,Revenue
Children's Services,23/03/2010,Education & Childcare Services,Anne Bunce,"1,425.00",Revenue
Children's Services,23/03/2010,Education & Childcare Services,Anne Bunce,600,Revenue
Children's Services,23/03/2010,Education & Childcare Services,Anne Bunce,"2,400.00",Revenue
Children's Services,13/01/2010,ISB,Anne Bunce,"1,100.00",Revenue
Children's Services,08/02/2010,ISB,Anne Bunce,620,Revenue
Children's Services,03/03/2010,ISB,Anne Bunce,500,Revenue
Resources,22/03/2010,Business Improvement,ANS Group Plc,"14,365.00",Capital
Resources,22/03/2010,Business Improvement,ANS Group Plc,"8,840.00",Capital
Resources,19/02/2010,Corporate IT,ANS Group Plc,"33,722.25",Revenue
Adult & Community Services,25/01/2010,Elderly & Physical Disability,Anson (UK) Ltd,611.9,Revenue
Children's Services,24/03/2010,Education & Childcare Services,APAC Ltd,"2,700.00",Revenue
Adult & Community Services,25/03/2010,Libraries & Information Services,APAK Barcode Readers Ltd,903.5,Revenue
Adult & Community Services,17/02/2010,Magnet Leisure Centre,APC Affordable Pest Control Ltd,522.54,Revenue
Children's Services,12/01/2010,Education & Childcare Services,Apollo Cars,532,Revenue
Children's Services,25/02/2010,Education & Childcare Services,Apollo Cars,502.72,Revenue
Children's Services,25/02/2010,Education & Childcare Services,Apollo Cars,570,Revenue
Children's Services,08/03/2010,Education & Childcare Services,Apollo Cars,534.01,Revenue
Children's Services,08/03/2010,Education & Childcare Services,Apollo Cars,570,Revenue
Adult & Community Services,06/01/2010,Windsor Leisure Centre,Apple Travel Ltd,970,Revenue
Adult & Community Services,20/03/2010,Windsor Leisure Centre,Apple Travel Ltd,727.5,Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,059.28",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,777.32",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,860.00",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,172.61",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,998.81",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Applegarth Residential Home,"2,035.15",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Applegarth Residential Home,"1,777.32",Revenue
Children's Services,24/02/2010,DSG Education & Childcare Services,AQA,537.6,Revenue
Children's Services,05/01/2010,ISB,AQA,511.4,Revenue
Children's Services,05/01/2010,ISB,AQA,544,Revenue
Children's Services,04/01/2010,ISB,AQA,592.3,Revenue
Children's Services,18/01/2010,ISB,AQA,528.4,Revenue
Children's Services,08/02/2010,ISB,AQA,"7,340.60",Revenue
Children's Services,11/02/2010,ISB,AQA,"1,655.80",Revenue
Children's Services,17/03/2010,ISB,AQA,"24,430.41",Revenue
Children's Services,15/02/2010,ISB,AQA,"1,499.40",Revenue
Children's Services,12/03/2010,ISB,AQA,"1,519.80",Revenue
Adult & Community Services,22/02/2010,Windsor Leisure Centre,Aquaflume Services Ltd,"1,855.00",Revenue
Adult & Community Services,25/03/2010,Magnet Leisure Centre,Aquazuro Limited,530.04,Revenue
