"Wardcode","Wardname","Subgroup"
"00ARGD","Cranham","7.12.20"
"00ARGE","Elm Park","7.12.20"
"00ARGF","Emerson Park","7.12.19"
"00ARGG","Gooshays","1.2.3"
"00ARGH","Hacton","7.12.20"
"00ARGJ","Harold Wood","7.12.20"
"00ARGK","Havering Park","7.12.20"
"00ARGL","Heaton","2.4.6"
"00ARGM","Hylands","7.12.20"
"00ARGN","Mawneys","7.12.20"
"00ARGP","Pettits","7.12.20"
"00ARGQ","Rainham and Wennington","7.12.20"
"00ARGR","Romford Town","7.12.20"
"00ARGS","St Andrew's","7.12.20"
"00ARGT","South Hornchurch","7.12.20"
"00ARGU","Squirrel's Heath","7.12.20"
"00ARGW","Upminster","7.12.19"
"00ASGG","Barnhill","6.8.14"
"00ASGH","Botwell","7.12.20"
"00ASGJ","Brunel","7.12.20"
"00ASGK","Cavendish","7.12.20"
"00ASGL","Charville","7.10.17"
"00ASGM","Eastcote and East Ruislip","7.12.19"
"00ASGN","Harefield","7.10.17"
"00ASGP","Heathrow Villages","7.12.20"
"00ASGQ","Hillingdon East","7.10.17"
"00ASGR","Ickenham","7.12.19"
"00ASGS","Manor","7.12.20"
"00ASGT","Northwood","7.12.20"
"00ASGU","Northwood Hills","7.12.20"
"00ASGW","Pinkwell","6.8.14"
"00ASGX","South Ruislip","7.12.20"
"00ASGY","Townfield","6.8.14"
"00ASGZ","Uxbridge North","7.12.19"
"00ASHA","Uxbridge South","5.7.12"
"00ASHB","West Drayton","7.12.20"
"00ASHC","West Ruislip","7.12.20"
"00ASHD","Yeading","6.8.14"
"00ASHE","Yiewsley","7.12.20"
"00ATFY","Bedfont","7.12.20"
"00ATFZ","Brentford","6.9.15"
"00ATGA","Chiswick Homefields","4.6.9"
"00ATGB","Chiswick Riverside","4.6.9"
"00ATGC","Cranford","6.8.14"
"00ATGD","Feltham North","7.12.20"
"00ATGE","Feltham West","1.2.3"
"00ATGF","Hanworth","1.2.3"
"00ATGG","Hanworth Park","7.12.20"
"00ATGH","Heston Central","6.8.14"
"00ATGJ","Heston East","6.8.14"
"00ATGK","Heston West","6.8.14"
"00ATGL","Hounslow Central","6.8.14"
"00ATGM","Hounslow Heath","6.8.14"
"00ATGN","Hounslow South","7.12.20"
"00ATGP","Hounslow West","6.8.14"
"00ATGQ","Isleworth","7.12.20"
"00ATGR","Osterley and Spring Grove","7.12.20"
"00ATGS","Syon","7.12.20"
"00ATGT","Turnham Green","4.6.9"
"00AUFX","Barnsbury","4.6.9"
"00AUFY","Bunhill","6.9.15"
"00AUFZ","Caledonian","6.9.15"
"00AUGA","Canonbury","6.9.15"
"00AUGB","Clerkenwell","4.6.9"
"00AUGC","Finsbury Park","6.9.15"
"00AUGD","Highbury East","4.6.9"
"00AUGE","Highbury West","6.9.15"
"00AUGF","Hillrise","6.9.15"
"00AUGG","Holloway","6.9.15"
"00AUGH","Junction","6.9.15"
"00AUGJ","Mildmay","6.9.15"
"00AUGK","St George's","6.9.15"
"00AUGL","St Mary's","4.6.9"
"00AUGM","St Peter's","4.6.9"
"00AUGN","Tollington","6.9.15"
"00AWFY","Abingdon","4.6.9"
"00AWFZ","Brompton","4.6.9"
"00AWGA","Campden","4.6.9"
"00AWGB","Colville","6.9.15"
"00AWGC","Courtfield","4.6.9"
"00AWGD","Cremorne","4.6.9"
"00AWGE","Earl's Court","4.6.9"
"00AWGF","Golborne","6.9.15"
"00AWGG","Hans Town","4.6.9"
"00AWGH","Holland","4.6.9"
"00AWGJ","Norland","4.6.9"
"00AWGK","Notting Barns","6.9.15"
"00AWGL","Pembridge","4.6.9"
"00AWGM","Queen's Gate","4.6.9"
"00AWGN","Redcliffe","4.6.9"
"00AWGP","Royal Hospital","4.6.9"
"00AWGQ","St Charles","6.9.15"
"00AWGR","Stanley","4.6.9"
"00AXFX","Alexandra","7.12.20"
"00AXFY","Berrylands","4.6.9"
"00AXFZ","Beverley","7.12.20"
"00AXGA","Canbury","4.6.9"
"00AXGB","Chessington North and Hook","7.12.20"
"00AXGC","Chessington South","7.10.17"
"00AXGD","Coombe Hill","7.12.20"
"00AXGE","Coombe Vale","7.12.20"
"00AXGF","Grove","4.6.9"
"00AXGG","Norbiton","7.12.20"
"00AXGH","Old Malden","7.12.20"
"00AXGJ","St James","7.12.20"
"00AXGK","St Mark's","4.6.9"
"00AXGL","Surbiton Hill","4.6.9"
"00AXGM","Tolworth and Hook Rise","7.12.20"
"00AXGN","Tudor","7.12.20"
"00AYFZ","Bishop's","6.9.15"
"00AYGA","Brixton Hill","6.9.15"
"00AYGB","Clapham Common","4.6.9"
"00AYGC","Clapham Town","4.6.9"
"00AYGD","Coldharbour","6.9.15"
"00AYGE","Ferndale","6.9.15"
"00AYGF","Gipsy Hill","6.9.15"
"00AYGG","Herne Hill","6.9.15"
"00AYGH","Knight's Hill","6.9.15"
"00AYGJ","Larkhall","6.9.15"
"00AYGK","Oval","6.9.15"
"00AYGL","Prince's","6.9.15"
"00AYGM","St Leonard's","4.6.9"
"00AYGN","Stockwell","6.9.15"
"00AYGP","Streatham Hill","4.6.9"
"00AYGQ","Streatham South","6.9.15"
"00AYGR","Streatham Wells","4.6.9"
"00AYGS","Thornton","6.9.15"
"00AYGT","Thurlow Park","4.6.9"
"00AYGU","Tulse Hill","6.9.15"
"00AYGW","Vassall","6.9.15"
"00AZGD","Bellingham","6.9.15"
"00AZGE","Blackheath","4.6.9"
"00AZGF","Brockley","6.9.15"
"00AZGG","Catford South","7.12.20"
"00AZGH","Crofton Park","6.9.15"
"00AZGJ","Downham","2.3.4"
"00AZGK","Evelyn","6.9.15"
"00AZGL","Forest Hill","6.9.15"
"00AZGM","Grove Park","7.12.20"
"00AZGN","Ladywell","6.9.15"
"00AZGP","Lee Green","4.6.9"
"00AZGQ","Lewisham Central","6.9.15"
"00AZGR","New Cross","6.9.15"
"00AZGS","Perry Vale","6.9.15"
"00AZGT","Rushey Green","6.9.15"
"00AZGU","Sydenham","6.9.15"
"00AZGW","Telegraph Hill","6.9.15"
"00AZGX","Whitefoot","7.12.20"
"00BAFX","Abbey","4.6.9"
"00BAFY","Cannon Hill","7.12.20"
"00BAFZ","Colliers Wood","4.6.9"
"00BAGA","Cricket Green","6.9.15"
"00BAGB","Dundonald","4.6.9"
"00BAGC","Figge's Marsh","6.9.15"
"00BAGD","Graveney","6.8.14"
"00BAGE","Hillside","4.6.9"
"00BAGF","Lavender Fields","6.9.15"
"00BAGG","Longthornton","7.12.20"
"00BAGH","Lower Morden","7.12.20"
"00BAGJ","Merton Park","7.12.20"
"00BAGK","Pollards Hill","7.12.20"
"00BAGL","Ravensbury","7.12.20"
"00BAGM","Raynes Park","4.6.9"
"00BAGN","St Helier","7.12.20"
"00BAGP","Trinity","4.6.9"
"00BAGQ","Village","4.6.9"
"00BAGR","West Barnes","7.12.20"
"00BAGS","Wimbledon Park","4.6.9"
"00BBGB","Beckton","6.9.15"
"00BBGC","Boleyn","6.8.14"
"00BBGD","Canning Town North","6.9.15"
"00BBGE","Canning Town South","6.9.15"
"00BBGF","Custom House","6.9.15"
"00BBGG","East Ham Central","6.8.14"
"00BBGH","East Ham North","6.8.14"
"00BBGJ","East Ham South","6.9.15"
"00BBGK","Forest Gate North","6.9.15"
"00BBGL","Forest Gate South","6.9.15"
"00BBGM","Green Street East","6.8.14"
"00BBGN","Green Street West","6.8.14"
"00BBGP","Little Ilford","6.8.14"
"00BBGQ","Manor Park","6.8.14"
"00BBGR","Plaistow North","6.9.15"
"00BBGS","Plaistow South","6.9.15"
"00BBGT","Royal Docks","6.9.15"
"00BBGU","Stratford and New Town","6.9.15"
"00BBGW","Wall End","6.8.14"
"00BBGX","West Ham","6.9.15"
"00BCFY","Aldborough","7.12.20"
"00BCFZ","Barkingside","7.12.20"
"00BCGA","Bridge","7.12.20"
"00BCGB","Chadwell","7.12.20"
"00BCGC","Church End","7.12.20"
"00BCGD","Clayhall","7.12.20"
"00BCGE","Clementswood","6.8.14"
"00BCGF","Cranbrook","6.8.14"
"00BCGG","Fairlop","7.12.20"
"00BCGH","Fullwell","7.12.20"
"00BCGJ","Goodmayes","6.8.14"
"00BCGK","Hainault","7.12.20"
"00BCGL","Loxford","6.8.14"
"00BCGM","Mayfield","7.12.20"
"00BCGN","Monkhams","7.12.19"
"00BCGP","Newbury","6.8.14"
"00BCGQ","Roding","7.12.20"
"00BCGR","Seven Kings","6.8.14"
"00BCGS","Snaresbrook","4.6.9"
"00BCGT","Valentines","6.8.14"
"00BCGU","Wanstead","7.12.20"
"00BDFW","Barnes","4.6.9"
"00BDFX","East Sheen","7.12.20"
"00BDFY","Fulwell and Hampton Hill","5.7.12"
"00BDFZ","Ham","5.7.12"
"00BDGA","Hampton","7.12.19"
"00BDGB","Hampton North","7.12.20"
"00BDGC","Hampton Wick","5.7.12"
"00BDGD","Heathfield","7.12.20"
"00BDGE","Kew","4.6.9"
"00BDGF","Mortlake and Barnes Common","4.6.9"
"00BDGG","North Richmond","4.6.9"
"00BDGH","St Margarets and North Twickenham","4.6.9"
"00BDGJ","South Richmond","4.6.9"
"00BDGK","South Twickenham","5.7.12"
"00BDGL","Teddington","5.7.12"
"00BDGM","Twickenham Riverside","4.6.9"
"00BDGN","West Twickenham","5.7.12"
"00BDGP","Whitton","7.12.20"
"00BEGC","Brunswick Park","6.9.15"
"00BEGD","Camberwell Green","6.9.15"
"00BEGE","Cathedrals","6.9.15"
"00BEGF","Chaucer","6.9.15"
"00BEGG","College","4.6.9"
"00BEGH","East Dulwich","4.6.9"
"00BEGJ","East Walworth","6.9.15"
"00BEGK","Faraday","6.9.15"
"00BEGL","Grange","6.9.15"
"00BEGM","Livesey","6.9.15"
"00BEGN","Newington","6.9.15"
"00BEGP","Nunhead","6.9.15"
"00BEGQ","Peckham","6.9.15"
"00BEGR","Peckham Rye","6.9.15"
"00BEGS","Riverside","4.6.9"
"00BEGT","Rotherhithe","6.9.15"
"00BEGU","South Bermondsey","6.9.15"
"00BEGW","South Camberwell","6.9.15"
"00BEGX","Surrey Docks","4.6.9"
"00BEGY","The Lane","6.9.15"
"00BEGZ","Village","7.12.20"
"00BFGC","Beddington North","7.12.20"
"00BFGD","Beddington South","7.12.20"
"00BFGE","Belmont","7.12.20"
"00BFGF","Carshalton Central","7.12.20"
"00BFGG","Carshalton South and Clockhouse","7.12.19"
"00BFGH","Cheam","7.12.19"
"00BFGJ","Nonsuch","7.12.20"
"00BFGK","St Helier","1.2.3"
"00BFGL","Stonecot","7.12.20"
"00BFGM","Sutton Central","5.7.12"
"00BFGN","Sutton North","7.12.20"
"00BFGP","Sutton South","4.6.10"
"00BFGQ","Sutton West","5.7.12"
"00BFGR","The Wrythe","7.12.20"
"00BFGS","Wallington North","7.12.20"
"00BFGT","Wallington South","7.12.20"
"00BFGU","Wandle Valley","1.2.3"
"00BFGW","Worcester Park","7.12.20"
"00BGFW","Bethnal Green North","6.9.15"
"00BGFX","Bethnal Green South","6.9.15"
"00BGFY","Blackwall and Cubitt Town","4.6.9"
"00BGFZ","Bow East","6.9.15"
"00BGGA","Bow West","6.9.15"
"00BGGB","Bromley-by-Bow","6.9.15"
"00BGGC","East India and Lansbury","6.9.15"
"00BGGD","Limehouse","6.9.15"
"00BGGE","Mile End and Globe Town","6.9.15"
"00BGGF","Mile End East","6.9.15"
"00BGGG","Millwall","4.6.9"
"00BGGH","St Dunstan's and Stepney Green","6.9.15"
"00BGGJ","St Katherine's and Wapping","4.6.9"
"00BGGK","Shadwell","6.9.15"
"00BGGL","Spitalfields and Banglatown","6.9.15"
"00BGGM","Weavers","6.9.15"
"00BGGN","Whitechapel","6.9.15"
"00BHFX","Cann Hall","6.9.15"
"00BHFY","Cathall","6.9.15"
"00BHFZ","Chapel End","7.12.20"
"00BHGA","Chingford Green","7.12.20"
"00BHGB","Endlebury","7.12.20"
"00BHGC","Forest","6.8.14"
"00BHGD","Grove Green","6.9.15"
"00BHGE","Hale End and Highams Park","7.12.20"
"00BHGF","Hatch Lane","7.12.20"
"00BHGG","High Street","6.9.15"
"00BHGH","Higham Hill","6.9.15"
"00BHGJ","Hoe Street","6.9.15"
"00BHGK","Larkswood","7.12.20"
"00BHGL","Lea Bridge","6.9.15"
"00BHGM","Leyton","6.9.15"
"00BHGN","Leytonstone","4.6.9"
"00BHGP","Markhouse","6.9.15"
"00BHGQ","Valley","7.12.20"
"00BHGR","William Morris","6.9.15"
"00BHGS","Wood Street","6.9.15"
"00BJFZ","Balham","4.6.9"
"00BJGA","Bedford","4.6.9"
"00BJGB","Earlsfield","4.6.9"
"00BJGC","East Putney","4.6.9"
"00BJGD","Fairfield","4.6.9"
"00BJGE","Furzedown","4.6.9"
"00BJGF","Graveney","4.6.9"
"00BJGG","Latchmere","6.9.15"
"00BJGH","Nightingale","4.6.9"
"00BJGJ","Northcote","4.6.9"
"00BJGK","Queenstown","6.9.15"
"00BJGL","Roehampton","6.9.15"
"00BJGM","St Mary's Park","4.6.9"
"00BJGN","Shaftesbury","4.6.9"
"00BJGP","Southfields","4.6.9"
"00BJGQ","Thamesfield","4.6.9"
"00BJGR","Tooting","4.6.9"
"00BJGS","Wandsworth Common","4.6.9"
"00BJGT","West Hill","4.6.9"
"00BJGU","West Putney","4.6.9"
"00BKGA","Abbey Road","4.6.9"
"00BKGB","Bayswater","4.6.9"
"00BKGC","Bryanston and Dorset Square","4.6.9"
"00BKGD","Churchill","6.9.15"
"00BKGE","Church Street","6.9.15"
"00BKGF","Harrow Road","6.9.15"
"00BKGG","Hyde Park","4.6.9"
"00BKGH","Knightsbridge and Belgravia","4.6.9"
"00BKGJ","Lancaster Gate","4.6.9"
"00BKGK","Little Venice","4.6.9"
"00BKGL","Maida Vale","4.6.9"
"00BKGM","Marylebone High Street","4.6.9"
"00BKGN","Queen's Park","6.9.15"
"00BKGP","Regent's Park","4.6.9"
"00BKGQ","St James's","4.6.10"
"00BKGR","Tachbrook","4.6.9"
"00BKGS","Vincent Square","4.6.9"
"00BKGT","Warwick","4.6.9"
"00BKGU","Westbourne","6.9.15"
"00BKGW","West End","4.6.9"
"00BLFA","Astley Bridge","7.10.17"
"00BLFB","Blackrod","8.15.24"
"00BLFC","Bradshaw","1.1.2"
"00BLFD","Breightmet","1.2.3"
"00BLFE","Bromley Cross","1.1.2"
"00BLFF","Burnden","2.4.5"
"00BLFG","Central","6.8.14"
"00BLFH","Daubhill","2.4.5"
"00BLFJ","Deane-Cum-Heaton","1.1.2"
"00BLFK","Derby","6.8.14"
"00BLFL","Farnworth","2.3.4"
"00BLFM","Halliwell","2.4.5"
"00BLFN","Harper Green","1.2.3"
"00BLFP","Horwich","1.1.2"
"00BLFQ","Hulton Park","7.10.16"
"00BLFR","Kearsley","1.2.3"
"00BLFS","Little Lever","8.15.24"
"00BLFT","Smithills","1.1.2"
"00BLFU","Tonge","2.4.5"
"00BLFW","Westhoughton","7.10.17"
"00BMFA","Besses","1.2.3"
"00BMFB","Church","1.1.2"
"00BMFC","East","1.2.3"
"00BMFD","Elton","7.10.17"
"00BMFE","Holyrood","1.1.2"
"00BMFF","Moorside","1.1.1"
"00BMFG","Pilkington Park","1.1.2"
"00BMFH","Radcliffe Central","1.2.3"
"00BMFJ","Radcliffe North","8.15.24"
"00BMFK","Radcliffe South","1.2.3"
"00BMFL","Ramsbottom","7.10.17"
"00BMFM","Redvales","2.4.5"
"00BMFN","St. Mary's","1.1.2"
"00BMFP","Sedgley","7.12.20"
"00BMFQ","Tottington","7.10.16"
"00BMFR","Unsworth","1.1.2"
"00BNFA","Ardwick","6.9.15"
"00BNFB","Baguley","1.2.3"
"00BNFC","Barlow Moor","5.7.12"
"00BNFD","Benchill","2.3.4"
"00BNFE","Beswick and Clayton","2.3.4"
"00BNFF","Blackley","2.3.4"
"00BNFG","Bradford","2.3.4"
"00BNFH","Brooklands","1.2.3"
