"CouncillorID","CllrFirstName","CllrSurname","CllrTwitter","CllrWebsite","Party","Council","Ward"
91,"Paul","Twigger","cllrpaultwigger","http://www.knottyash.org.uk","Liberal Democrat","Liverpool City Council","Knotty Ash"
92,"Faraz","Bhatti","cllrfarazbhatti",,"Conservative","Manchester City Council","Whalley Range"
94,"Fran","Carpenter","frannewforest","http://www.newforest.gov.uk/index.cfm?articleid=3820","Conservative","New Forest District Council","Becton"
96,"Chris","Bartlett","bartlettlabour","http://www.chrisbartlett.org.uk","Labour","Newcastle City Council","South Heaton"
97,"Greg","Stone","greg4mp","http://www.gregstone.org.uk","Liberal Democrat","Newcastle City Council","North Heaton"
98,"Peter","Roberts","cllrproberts",,"Conservative","Wootton Bassett Town Council","South"
99,"Roger","Conroy","cllrrogerconroy",,"Liberal Democrat","Northampton Borough Council","Spencer"
100,"Rupert","Read","rupertread","http://rupertsread.blogspot.com","Green Party","Norwich City Council",""
101,"Alex","Foster","alexfoster","http://www.alexfoster.me.uk","Liberal Democrat","Nottingham City Council",""
102,"Martyn","Findley","martynfindley","http://martynfindley.blogspot.com","BNP","Nuneaton and Bedworth Borough Council","Barpool"
103,"Clive","McFarland","clivemcfarland","http://www.councillor.info/omagh/cmcfarland.aspx?init","DUP","Omagh District Council","Omagh Town"
104,"Antonia","Bance","antoniabance","http://www.antoniabance.org.uk","Labour","Oxford City Council","Rose Hill and Iffley"
105,"Daisy","Benson","cllrdaisybenson","http://www.redlandslibdems.org.uk","Liberal Democrat","Reading Borough Council","Redlands"
106,"Dave","Luckett","daveluckett","http://www.cllrdaveluckett.co.uk","Conservative","Reading Borough Council","Caversham"
107,"Warren","Swaine","waswasere","http://homepage.ntlworld.com/warren.swaine","Liberal Democrat","Reading Borough Council","Katesgrove"
108,"Wera","Hobhouse","wera_hobhouse",,"Liberal Democrat","Rochdale Metropolitan Borough Council",""
109,"James","Cottis","cllrcottis",,"Conservative","Rochford District Council",""
110,"Richard","Mallender","cllrrmallender","","Green Party","Rushcliffe Borough Council","Lady Bay"
111,"Iain","Lindley","cllrilindley","http://www.iainlindley.co.uk","Conservative","Salford City Council","Walkden South"
112,"John","Warmisham","cllrjwarmisham","","Labour","Salford City Council","Langworthy"
113,"Stephen","Cooke","stevecooke","http://www.stevecooke.org","Liberal Democrat","Salford City Council","Swinton South"
114,"Season","Prater","seasonprater",,"Liberal Democrat","Sandgate Parish Council",""
115,"Bob","Piper","bobpiper","http://bobpiper.co.uk","Labour","Sandwell Metropolitan Borough Council",""
116,"Duncan","McGinty","duncan_mcginty",,"Conservative","Sedgemoor District Council","East Poldens"
117,"Brenda","Porter","brendaporter","http://www.tellbrenda.com","Conservative","Sefton Metropolitan Borough Council","Ainsdale"
120,"Philip","Vial","philipvial","http://www.philipvial.org.uk","Liberal Democrat","Shipston on Stour Town Council",""
121,"Andrew","Rankine","dalesmann","http://www.rankine.com","Liberal Democrat","Skipton Town Council",""
122,"Woodstock Labour","Councillors","woodstocklabour","http://www.woodstocklabour.org.uk/","Labour","South Gloucestershire Council","Woodstock"
123,"Fiona","Colley","fionacolley","http://www.fiona-colley.net","Labour","London Borough of Southwark","Nunhead & East Peckham"
124,"Lisa","Rajan","lisarajan","","Liberal Democrat","London Borough of Southwark","Surrey Docks"
125,"Julia","Hayward","julia_hayward","http://www.juliahayward.com","Unknown","St. Neots Town Council","Eaton Socon"
126,"Helen","Foster-Grime","cllrhelenfostergrime",,"Liberal Democrat","Stockport Metropolitan Borough Council","Bramhall North"
127,"David","Theobald","cllrdavid",,"Independent","London Borough of Sutton","St Helier"
128,"Paul","Scully","scullyp","http://pauscully.blogspot.com","Conservative","London Borough of Sutton",""
129,"Mark","Ellen","cllrellen",,"Labour","Swale Borough Council","Sheerness East"
130,"Trevor","Fentiman","tfentiman","http://tfentiman.blogspot.com","Conservative","Swale Borough Council","Teynham and Lynstead"
131,"Chris","Botten","cllrchrisbotten",,"Liberal Democrat","Caterham Hill Town Council","Porley"
131,"Chris","Botten","cllrchrisbotten",,"Liberal Democrat","Tandridge District Council","Porley"
132,"Marie","Jenkins","cllrmjenkins","http://cllr-marie-jenkins.blogspot.com/","Liberal Democrat","Teignbridge District Council","Newton Abbot (College)"
133,"Mark","Nottingham","mnottingham","http://marknottingham.blogspot.com","Labour","Thanet District Council","Northwood"
134,"Sara","Bedford","sarabedford","http://www.sarabedford.org.uk","Liberal Democrat","Abbots Langley Parish Council","Leavesden"
134,"Sara","Bedford","sarabedford","http://www.sarabedford.org.uk","Liberal Democrat","Three Rivers District Council","Abbots Langley"
135,"Rachael","Saunders","rachaelsaunders",,"Labour","London Borough of Tower Hamlets","Mile End"
136,"Charlotte","MacKenzie","charlottem2010","http://charlottemackenzie.com","Labour","Truro City Council",""
137,"Richard","Bertin","ayesleft","http://www.richardbertin.com","Labour","Vale of Glamorgan Borough Council","Court"
138,"Debby","Robinson","towncouncillor",,"Unknown","Ventnor Town Council","Ventnor West"
139,"Mike","Flower","cllrmikeflower","http://mikeflower.wordpress.com","Conservative","Walsall Metropolitan Borough Council","Aldridge North and Walsall Wood"
140,"James","Cousins","jamescousins","http://jamescousins.com/twitter","Conservative","London Borough of Wandsworth","Shaftesbury"
141,"Mike","Causey","mikecausey","http://mikecausey.wordpress.com","Conservative","Waverley Borough Council","Farnham Wrecclesham and Rowledge"
143,"Paul","Cotterill","bickerrecord",,"Labour","West Lancashire District Council","Bickerstaffe"
144,"Kristan","Smith","kwisstan","http://kwisstan.blogspot.com","Liberal Democrat","West Lindsey District Council","Gainsborough East"
145,"David","Spender","dspender","http://obbfcouncillor.blogspot.com","Liberal Democrat","Winchester City Council","Oliver&#39;s Battery & Badger Farm"
146,"Fiona","Mather","fimat",,"Conservative","Winchester City Council","St Michael"
147,"Ian","Lewis","cllrianlewis","http://www.ianlewis.org.uk","Conservative","Wirral Metropolitan Borough Council","Leasowe & Moreton East"
148,"Sue","Taylor","cllrsuetaylor","http://www.tellsue.com","Conservative","Wirral Metropolitan Borough Council","New Brighton"
150,"Paul","Denham","citycouncillor","http://www.pauldenham.net","Labour","Worcester City Council","Rainbow Hill"
151,"Helen","Wilkinson-Makey","helliewm","http://www.thebigoptout.com/?page_id=3","Conservative","Wycombe District Council","Greater Marlow"
152,"John","Gibbs","johnmgibbs",,"Conservative","Wycombe District Council","Greater Hughenden"
153,"Jonathon","Ward","jon626537","http://www.motionlab.co.uk","Unknown","Unknown",""
154,"Susan","M","molecat84",,"Unknown","Unknown",""
155,"Sue","Murphy","smurph99","","Labour","Manchester City Council","Brooklands"
156,"Tim","Cheetham","cllrtim","http://cllrtim.blogspot.com/","Labour","Barnsley Metropolitan Borough Council","Royston"
157,"Alex","Woodman","cllralexwoodman","http://www.alexwoodman.blogspot.com","Liberal Democrat","Bristol City Council","Cabot"
158,"Mark","Bradshaw","mark_bradshaw",,"Labour","Bristol City Council","Bedminster"
159,"Sean","Beynon","seanbeynon",,"Labour","Bristol City Council","Southville"
161,"Richard","Rout","richardrout",,"Conservative","Bury St Edmunds Town Council","Abbeygate"
162,"Barbara","Hanniford","magpiehaven",,"Independent","Caradon District Council","Looe and St Martin"
162,"Barbara","Hanniford","magpiehaven",,"Independent","Looe Town Council","East Looe"
163,"Peter","Malpas","cllrpetermalpas","http://www.malpas.org","Conservative","Chorley Borough Council","North West"
163,"Peter","Malpas","cllrpetermalpas","http://www.malpas.org","Conservative","Lancashire County Council","Chorley West"
164,"Fiona","Cowan","Fiona_WordsBird",,"Unknown","Collyweston Parish Council",""
165,"Jeremy","Rowe","cllrjeremyrowe","http://www.jeremyrowe.org.uk/","Liberal Democrat","Cornwall Council","St Issey"
166,"Carla","Lockhart","carlalockhart",,"DUP","Craigavon Borough Council","Lurgan"
167,"Gerry","Ryan","gerryryanlabour","http://www.gerryryan.org.uk","Labour","London Borough of Croydon","Selhurst"
168,"Karen","Jewitt","karenjewitt",,"Labour","London Borough of Croydon","Woodside"
169,"Kris","Brown","kristoforbrown","http://www.krisbrown.org.uk","Labour","London Borough of Enfield","Edmonton Green"
170,"Bev","Rolfe","brolfe","http://www.shepwaylibdems.org.uk","Liberal Democrat","Folkestone Town Council","Park"
171,"Lynne","Beaumont","lynnebeaumont","http://www.shepwaylibdems.org.uk","Liberal Democrat","Folkestone Town Council","Park"
171,"Lynne","Beaumont","lynnebeaumont","http://www.shepwaylibdems.org.uk","Liberal Democrat","Shepway District Council","Park"
172,"Carole","Williams","carolewilliams","http://www.hoxtoncouncillors.blogspot.com","Labour","London Borough of Hackney","Hoxton"
173,"Hoxton Labour","Councillors","hoxtonlabour","http://www.hoxtoncouncillors.blogspot.com","Labour","London Borough of Hackney","Hoxton"
174,"Luke","Akehurst","lukeakehurst","http://www.lukeakehurst.blogspot.com","Labour","London Borough of Hackney","Chatham"
175,"Joe","Goldberg","joedgoldberg","","Labour","London Borough of Haringey","Seven Sisters"
176,"Andrew","Johnson","harlowtory","http://www.harlowtory.blogspot.com","Conservative","Harlow District Council","Church Langley"
177,"Nick","Churchill","nickchurchill1",,"Conservative","Harlow District Council","Sumners & Kingsmoore"
178,"Andrew","Gilbert","andrew_gilbert","http://stneotsconservatives.org.uk","Conservative","Huntingdonshire District Council","St Neots - Eynesbury"
179,"John","Cook","ipswichlabour",,"Labour","Ipswich Borough Council","Priory Heath"
180,"Rob","Banks","cllrrobbanks",,"Liberal Democrat","London Borough of Lambeth","Oval"
181,"Steve","Reed","cllrstevereed",,"Labour","London Borough of Lambeth","Brixton Hill"
182,"Oval ward Liberal Democrat","Councillors","ovalward","","Liberal Democrat","London Borough of Lambeth","Oval"
183,"Chris","Beverley","chrisbeverley","http://www.morleypatriot.blogspot.com","BNP","Leeds City Council","Morley South"
184,"Rory","Palmer","rory_palmer",,"Labour","Leicester City Council","Eyres Monsell"
185,"Sarah","Russell","sarahwestcotes",,"Labour","Leicester City Council","Westcotes"
186,"John","Muldoon","John_Muldoon",,"Labour","London Borough of Lewisham","Rushey Green"
187,"Paul","Bentley","leepedia","","Liberal Democrat","London Borough of Lewisham","Lee Green"
188,"Philip","Peake","philipfh",,"Liberal Democrat","London Borough of Lewisham","Forest Hill"
189,"Berni","Turner","bigbadberni",,"Liberal Democrat","Liverpool City Council","Old Swan"
190,"Colin","Eldridge","colineldridge",,"Liberal Democrat","Liverpool City Council","Kensington and Fairfield"
192,"Nigel","Murphy","hulmelabour","http://www.hulmelabour.org.uk","Labour","Manchester City Council","Hulme"
193,"Michael","Amesbury","mikeamesbury","http://www.fallowfieldclarion.blogspot.com","Labour","Manchester City Council","Fallowfield"
194,"Theresa","McGardle","cllrtheresa",,"Independent","Medlar with Wesham Town Council",""
196,"Heather","Wheeler","heatherwheeler","http://www.heatherwheeler.org.uk","Conservative","South Derbyshire District Council","Repton"
197,"Ahmed","Khan","councillorkhan",,"Independent","South Tyneside Metropolitan Borough Council","Beacon and Bents"
198,"David","Harrington","cllrharrington",,"Independent","Stockton-on-Tees Borough Council","Ingleby Barwick East"
200,"David","Renard","cllrdavidrenard","http://www.haydonwickintouch.com","Conservative","Swindon Borough Council","Haydon Wick"
202,"Phil","Briscoe","philbriscoe","http://philbriscoe.blogspot.com","Conservative","London Borough of Tower Hamlets","Blackwall and Cubitt Town"
203,"Eddie","Hughes","eddiehughes",,"Conservative","Walsall Metropolitan Borough Council","Streetly"
204,"Marco","Longhi","marcolonghi",,"Conservative","Walsall Metropolitan Borough Council","Pelsell"
205,"Nick","Bason","nickbason",,"Liberal Democrat","London Borough of Waltham Forest","Hale End and Highams Park"
206,"David","Betts","dabetts",,"Conservative","West Berkshire District Council","Purley on Thames"
207,"Chris","Blakeley","cllrcblakeley","http://www.chrisblakeley.com/","Conservative","Wirral Metropolitan Borough Council","Moreton West and Saughall Massie"
208,"Simon","Mountney","cllrmountney",,"Conservative","Wirral Metropolitan Borough Council","Moreton West and Saughall Massie"
209,"Leah","Fraser","leahfraser","http://www.leahfraser.com","Conservative","Wirral Metropolitan Borough Council","Liscard"
210,"Paul","Swaddle","paulswaddle",,"Conservative","Wokingham Borough Council","Maiden Erlegh"
211,"Perter","Smallbone","petersmallbone","http://www.petersmallbone.com","Conservative","Birmingham City Council","Quinton"
212,"Muhammed","Butt","lwxmb19","http://www.brentbrain.org/cllrmuhammedbutt","Labour","London Borough of Brent","Tokynton"
213,"Philip","Glanville","philipglanville","http://www.hoxtoncouncillors.com","Labour","London Borough of Hackney","Hoxton"
214,"Mike","Lawlor","redmike9560","","Labour","Gloucester City Council","Podsmead"
215,"Nick","Durrant","nicdurrant","","Labour","Gloucester City Council","Moreland"
216,"Martin","O'Neill","cllrmoneill","","Liberal Democrat","Salford City Council","Swinton South"
217,"Keith","Williams","keithdwilliams","","Liberal Democrat","Abbots Langley Parish Council","Tanners Wood"
217,"Keith","Williams","keithdwilliams","","Liberal Democrat","Three Rivers District Council","Leavesden"
218,"Clayeon","McKenzie","clayeonmckenzie","http://www.hoxtoncouncillors.blogspot.com","Labour","London Borough of Hackney","Hoxton"
219,"Antonia","Dunn","toniadunn","","Conservative","London Borough of Wandsworth","Bedford"
220,"Paul","Gittings","paulgittings","","Labour","Reading Borough Council","Minster"
221,"Zaffar","Van Kalwala","thecouncillor","","Labour","London Borough of Brent","Stonebridge"
223,"Stephen","Ellis","clrstephenellis","http://cllrstephenellis.blogspot.com","Conservative","Staffordshire Moorlands District Council","Cheadle West"
224,"John","Briggs","jbnaxtory","","Conservative","North Lincolnshire Borough Council","North Axholme"
225,"Val","Loseby","cllrval","","Liberal Democrat","Shepway District Council","New Romney Coast"
225,"Val","Loseby","cllrval","","Liberal Democrat","Lydd Town Council","New Romney Coast"
227,"Peter","Carroll","petercarroll","http://www.petercarroll.org.uk/","Liberal Democrat","Shepway District Council","Cheriton"
230,"John","Kelly","cllrjohnkelly","","Conservative","Tameside Metropolitan Borough Council","Ashton-under-Lyne: Hurst"
231,"Timothy","Godfrey","timothygodfrey","","Labour","London Borough of Croydon","Selhurst"
232,"Jeff","Green","cllrjeffgreen","","Conservative","Wirral Metropolitan Borough Council","West Kirby and Thurstaston"
233,"Steve","Bullock","mayorbullock","http://www.mayorsteve.co.uk","Labour","London Borough of Lewisham","Elected Mayor"
234,"Karen","Alexander","karenjalexander","","Liberal Democrat","London Borough of Haringey","Harringay"
235,"Ian","McCord","ianamccord","","Conservative","South Northamptonshire District Council","Cosgrove and Grafton"
237,"Nicky","Wildy","councillornicky","","Labour","Plymouth City Council","Devonport"
238,"Richard","Pitts","richpitts","","Liberal Democrat","Marlborough Town Council","West"
239,"Carolyn","Baker","carolynabaker","","Liberal Democrat","London Borough of Haringey","Harringay"
240,"Paul","Noblet","paulnoblet","","Liberal Democrat","London Borough of Southwark"," Surrey Docks"
241,"Salma","Yaqoob","salmayaqoob","http://www.salmayaqoob.com/","Respect","Birmingham City Council","Sparkbrook"
242,"Angela","Graham","angela_graham","","Conservative","London Borough of Wandsworth","Earlsfield"
243,"Gwenllian","Lansdown","gwenllianlansd","","Plaid Cymru","Cardiff City Council","Riverside"
244,"Maggie","Chapman","maggieedinburgh","","Green Party","Edinburgh City Council","Leith Walk"
245,"David","Potts","davidpotts101","","Conservative","South Tyneside Metropolitan Borough Council","Cleadon and East Boldon"
246,"Tony","Williams","tonywilliams","http://www.tony-williams.co.uk/","Conservative","Norfolk County Council","Hevingham and Spixworth"
247,"Scott","Seaman-Digby","northwoodcllr","","Conservative","London Borough of Hillingdon","Northwood"
248,"Gavin","Maclure","gavinmaclure","http://gavinmaclure.blogspot.com","Conservative","Ipswich Borough Council","Bixley"
249,"John","Jillings","johnjillings","","Conservative","Cannock Chase Council District Council","Heath Hayes East and Wimblebury"
250,"Darrell","Mawle","councillormawle","","Liberal Democrat","Cannock Chase Council District Council","Rawnsley"
251,"Jonathan","Knott","jonathanknott","http://www.jonathanknott.co.uk","Labour","London Borough of Newham","Plaistow North"
252,"Bob","Smytherman","bsmytherman","http://bobsmytherman.mycouncillor.org.uk","Liberal Democrat","Worthing Borough Council","Tarring"
253,"Michael","Berridge","michael30b","","Liberal Democrat","Canterbury City Council","St Stephens"
254,"James","Flanagan","jamescanterbury","","Liberal Democrat","Canterbury City Council","Westgate"
255,"Stephen","Dye","steve_dye","","Liberal Democrat","Canterbury City Council","Westgate"
256,"Jo","Calvert-Mindell","jazzb4me","","Liberal Democrat","Canterbury City Council","St Stephens"
257,"John","Friary","johnfriary","http://www.johnfriary.blogspot.com","Labour","London Borough of Southwark","Camberwell Green"
258,"Alison","McGovern","alison_mcgovern","","Labour","London Borough of Southwark","Brunswick Park"
259,"Tudor","Evans","councillortudor","","Labour","Plymouth City Council","Ham"
260,"Paula","Keaveney","paulakeaveney","http://www.paulakeaveney.blogspot.com","Liberal Democrat","Liverpool City Council","Cressington"
261,"Philip","Parkin","peparkin","http://www.philipparkin.com","Conservative","Birmingham City Council","Sutton Trinity"
262,"Stephen","Allison","stephenallison","http://steveallison107.blogspot.com","UKIP","Hartlepool Borough Council","St Hilda"
263,"Niknam","Hussain","niknamh","","Liberal Democrat","Buckinghamshire County Council","Aylesbury North"
264,"Robert-John","Tasker","robert_j_m_t","","Conservative","Royal Borough of Kingston upon Thames","Coombe Vale"
265,"William","Lloyd","walloyd","","Conservative","Brentwood Borough Council","Warley"
266,"Matthew","Scott","mattscottuk","http://mattscottuk.wordpress.com","Conservative","London Borough of Bexley","St Michaels"
267,"Andy","Bayford","andybayford","","Conservative","Leicester City Council","Knighton"
268,"Ian","Gilbert","cllriangilbert","http://www.rselabour.com/ian_gilbert","Labour","Southend-on-Sea Borough Council","Victoria"
269,"Stuart","Hutton","cllrhutton","","Conservative","Cheltenham Borough Council","Warden Hill"
275,"Jonathan","Simpson","simpsonjonathan","","Labour","London Borough of Camden","Kings Cross"
277,"Julian","Bell","juliangbell","http://www.ealinglabour.com","Labour","London Borough of Ealing","Greenford Broadway"
279,"Darren","Cranshaw","darrencranshaw","","Unknown","Brindle Parish Council",""
281,"John","Dodd","john_dodd","http://localfocusnews.blogspot.com/","Liberal Democrat","Sefton Metropolitan Borough Council","Meols"
282,"Derek","Antrobus","cllrantrobus","","Labour","Salford City Council","Swinton North"
283,"Jeremy","Oates","jeremyotamworth","","Conservative","Staffordshire County Council","Tamworth - Amington"
283,"Jeremy","Oates","jeremyotamworth","","Conservative","Tamworth Borough Council","Trinity"
284,"James","Keeley","jameskeeley","http://www.liscardnewsline.com","Conservative","Wirral Metropolitan Borough Council","Licard and Egremont"
285,"Lesley","Rennie","lesleyrennie","","Conservative","Wirral Metropolitan Borough Council","Wallasey"
286,"Bill","Stevens","councillorbill","","Labour","Plymouth City Council","Devonport"
